city,n_layers,n_neurons,activation,dropout,epochs,mse,mae
champaign,3,32,Sigmoid,0.2,20000,0.014286306,0.070648715
champaign,3,512,Sigmoid,0.2,20000,0.010200148,0.055045433
dtchicago,3,512,Sigmoid,0.2,20000,0.028625568,0.084127314
dtchicago,3,32,Sigmoid,0.4,20000,0.024299964,0.07653711
dtchicago,3,128,Sigmoid,0.4,20000,0.025585046,0.07963528
dtchicago,3,32,Sigmoid,0.2,20000,0.024328094,0.07831877
dtchicago,3,32,SELU,0.4,20000,0.023861876,0.07734639
dtchicago,3,32,SELU,0.2,20000,0.02448642,0.07850455
chicago,3,32,Sigmoid,0.2,20000,0.030889383,0.11358985
chicago,3,512,Sigmoid,0.2,20000,0.035011392,0.11893634
chicago,3,512,ReLU,0.2,20000,0.035373144,0.11755675
chicago,3,512,SELU,0.2,20000,0.03310644,0.11673883
chicago,5,512,SELU,0.2,20000,0.038127907,0.122548826
chicago,3,512,SELU,0.2,20000,0.03405876,0.11897727
chicago,3,512,Sigmoid,0.2,30000,0.03673294,0.12183953
chicago,3,512,SELU,0.2,30000,0.033942964,0.117181085
chicago,5,512,SELU,0.2,30000,0.040377077,0.12413353
chicago,3,32,SELU,0.2,30000,0.031161238,0.113625295
chicago,3,32,Sigmoid,0.2,30000,0.030651186,0.11372783
chicago,3,512,Sigmoid,0.2,30000,0.15040785,0.29641783
champaign,3,512,ReLU,0.2,30000,0.013040293,0.057698913
champaign,3,512,GELU,0.2,30000,0.010100356,0.054009076
dtchicago,3,512,GELU,0.2,30000,0.03119787,0.088282235
dtchicago,3,32,GELU,0.2,30000,0.02544912,0.08118797
dtchicago,3,32,SELU,0.2,30000,0.024258781,0.07925317
dtchicago,3,512,GELU,0.2,30000,0.031225953,0.08840466
dtchicago,3,512,ReLU,0.2,30000,8.348599,0.14077576
dtchicago,3,128,Sigmoid,0.2,30000,0.026898686,0.08195495
dtchicago,3,32,SELU,0.2,30000,0.024330681,0.0778008
dtchicago,3,32,ReLU,0.2,30000,0.024761345,0.08086143
dtchicago,3,32,GELU,0.2,30000,0.025569374,0.08091951
dtchicago,3,64,GELU,0.2,30000,0.026931576,0.08322722
dtchicago,3,128,GELU,0.2,30000,0.028199831,0.084350996
dtchicago,3,16,GELU,0.2,30000,0.02468656,0.08048601
dtchicago,6,32,GELU,0.2,30000,0.027172666,0.083369724
chicago,3,512,GELU,0.4,30000,0.034335133,0.11803974
champaign,2,512,ReLU,0.2,30000,0.011312244,0.058707885
champaign,2,512,SELU,0.2,30000,0.0126368245,0.064695105
champaign,3,128,SELU,0.2,30000,0.011997463,0.06260805
dtchicago,3,128,SELU,0.2,30000,0.026007308,0.08179146
dtchicago,3,128,GELU,0.2,30000,0.028409371,0.08493372
dtchicago,3,32,GELU,0.2,30000,0.025318068,0.08075179
dtchicago,3,32,SELU,0.2,30000,0.024249934,0.07840508
dtchicago,3,512,GELU,0.2,30000,0.03175565,0.08882062
chicago,3,512,GELU,0.2,30000,0.018025508,0.07439317
chicago,3,512,SELU,0.2,10000,0.029374449,0.10908491
