Location,activation,n_l,n_n,p_d,MSE,MAE,Loss STD
Champaign-Urbana,SELU,1,32,0.2,1.8270e-02,8.6141e-02,7.0842e-05
Champaign-Urbana,ReLU,1,32,0.2,1.7309e-02,8.3594e-02,9.5223e-05
Champaign-Urbana,Sigmoid,1,32,0.2,1.7455e-02,8.4025e-02,6.0242e-05
Champaign-Urbana,SELU,1,32,0.8,2.0812e-02,9.5007e-02,3.1071e-04
Champaign-Urbana,ReLU,1,32,0.8,2.0163e-02,9.3103e-02,2.7390e-04
Champaign-Urbana,Sigmoid,1,32,0.8,1.9629e-02,9.1449e-02,1.3224e-04
Champaign-Urbana,SELU,1,128,0.2,1.7200e-02,8.2990e-02,5.2277e-05
Champaign-Urbana,ReLU,1,128,0.2,1.6100e-02,7.9117e-02,7.7523e-05
Champaign-Urbana,Sigmoid,1,128,0.2,1.7049e-02,8.2674e-02,9.8798e-05
Champaign-Urbana,SELU,1,128,0.8,1.9210e-02,8.9187e-02,1.0156e-04
Champaign-Urbana,ReLU,1,128,0.8,1.8284e-02,8.6460e-02,5.9739e-05
Champaign-Urbana,Sigmoid,1,128,0.8,1.8370e-02,8.7140e-02,9.8598e-05
Champaign-Urbana,SELU,1,512,0.2,1.6908e-02,8.1897e-02,4.2343e-05
Champaign-Urbana,ReLU,1,512,0.2,1.5142e-02,7.4764e-02,2.1693e-05
Champaign-Urbana,Sigmoid,1,512,0.2,1.7235e-02,8.3719e-02,9.1061e-05
Champaign-Urbana,SELU,1,512,0.8,1.8118e-02,8.5605e-02,5.8245e-05
Champaign-Urbana,ReLU,1,512,0.8,1.6991e-02,8.2392e-02,3.3906e-05
Champaign-Urbana,Sigmoid,1,512,0.8,1.7787e-02,8.5180e-02,9.5598e-05
Champaign-Urbana,SELU,2,32,0.2,1.5384e-02,7.5573e-02,1.7540e-04
Champaign-Urbana,ReLU,2,32,0.2,1.5754e-02,7.5218e-02,2.4217e-04
Champaign-Urbana,Sigmoid,2,32,0.2,1.4933e-02,7.3122e-02,7.7481e-05
Champaign-Urbana,SELU,2,32,0.8,1.9822e-02,9.1311e-02,7.2403e-05
Champaign-Urbana,ReLU,2,32,0.8,2.0009e-02,8.8976e-02,1.5831e-04
Champaign-Urbana,Sigmoid,2,32,0.8,1.9710e-02,9.0959e-02,2.1773e-04
Champaign-Urbana,SELU,2,128,0.2,1.4122e-02,7.0321e-02,5.5029e-05
Champaign-Urbana,ReLU,2,128,0.2,1.2968e-02,6.5530e-02,2.2375e-04
Champaign-Urbana,Sigmoid,2,128,0.2,1.3665e-02,6.8639e-02,5.8723e-05
Champaign-Urbana,SELU,2,128,0.8,1.7569e-02,8.1702e-02,6.5509e-05
Champaign-Urbana,ReLU,2,128,0.8,1.7105e-02,7.9596e-02,1.4572e-04
Champaign-Urbana,Sigmoid,2,128,0.8,1.7092e-02,8.0412e-02,6.6726e-05
Champaign-Urbana,SELU,2,512,0.2,1.3612e-02,6.8410e-02,3.6671e-05
Champaign-Urbana,ReLU,2,512,0.2,1.1402e-02,5.8603e-02,1.3124e-04
Champaign-Urbana,Sigmoid,2,512,0.2,1.2849e-02,6.6308e-02,3.8468e-05
Champaign-Urbana,SELU,2,512,0.8,1.5448e-02,7.5208e-02,6.3080e-05
Champaign-Urbana,ReLU,2,512,0.8,1.4546e-02,7.0918e-02,2.6982e-05
Champaign-Urbana,Sigmoid,2,512,0.8,1.4987e-02,7.3115e-02,4.3845e-05
Champaign-Urbana,SELU,3,32,0.2,1.4632e-02,7.1897e-02,3.9387e-05
Champaign-Urbana,ReLU,3,32,0.2,1.4945e-02,7.2095e-02,5.7500e-05
Champaign-Urbana,Sigmoid,3,32,0.2,1.4295e-02,7.1194e-02,5.0447e-05
Champaign-Urbana,SELU,3,32,0.8,1.9456e-02,8.8695e-02,6.1132e-05
Champaign-Urbana,ReLU,3,32,0.8,1.9596e-02,8.7587e-02,1.7958e-04
Champaign-Urbana,Sigmoid,3,32,0.8,1.9381e-02,9.0955e-02,1.5877e-04
Champaign-Urbana,SELU,3,128,0.2,1.2277e-02,6.3658e-02,6.3454e-05
